product_id,name,price,quantity,category,description,production_date,expiration_date,status
1,Салями,6282,750,Мясо,Отличается низким содержанием насыщенных жиров и холестерина.,2018-02-16,2030-01-18,New
2,Киви,398,754,Фрукты,"Может использоваться как основа для приготовления домашних йогуртов, сыров и других молочных продуктов.",2012-02-20,2014-01-01,Delivered
3,Дыня,6685,782,Фрукты,Отличается высоким уровнем биологической доступности питательных веществ.,2015-02-12,2028-02-02,Delivered
4,Какао,4333,615,Напитки,Отличается низкой вероятностью возникновения побочных эффектов при употреблении.,2001-04-18,2006-04-03,Pending
5,Айран,7153,134,Молочные продукты,Подходит для использования в диетических программах для похудения.,2000-04-02,2025-01-06,Sold
6,Груша,3056,520,Фрукты,"Отличается высоким содержанием омега-3 жирных кислот, полезных для сердца.",2018-08-17,2027-02-02,Returned
7,Капучино,3484,886,Напитки,"Помогает поддерживать нормальный уровень генистеина, изофлавона, полезного для здоровья костей и профилактики рака.",2020-02-05,2023-02-11,Awaiting Review
9,Рамбутан,1569,574,Фрукты,"Отличается высоким содержанием L-карнозина, аминокислоты, полезной для мышц и мозга.",2014-09-13,2020-11-13,Temporarily Unavailable
10,Пакеты для Всемирного дня театра,6687,228,Товары для дома,"Помогает поддерживать нормальный уровень аллицина, вещества, обладающего антибактериальными и противогрибковыми свойствами.",2017-04-16,2024-08-26,Sold
11,Рамбутан,8857,646,Фрукты,Служит основой для создания множества кулинарных шедевров.,2011-01-01,2021-01-14,Pending
12,Лук-порей,4717,756,Овощи,"Отличается высоким содержанием антиоксидантов, защищающих клетки от окислительного стресса.",2002-11-09,2007-10-07,On Backorder
13,Бастурма,6328,54,Мясо,"Отличается высоким содержанием DMAE, вещества, улучшающего умственную деятельность и настроение.",2015-09-07,2019-02-05,Temporarily Unavailable
14,Кухонные ножи,869,917,Товары для дома,Подходит для использования в качестве основы для смузи и коктейлей.,1992-03-04,2013-02-05,Backorder
15,Хамон,6628,48,Мясо,"Помогает поддерживать нормальный уровень кортизола, гормона стресса.",1992-05-02,2003-10-01,Cancelled
16,Омская,5598,596,Напитки,"Подходит для людей всех возрастов, включая детей и пожилых.",1998-03-16,2021-04-07,Cancelled
18,Чебуреки,9340,267,Мясо,"Помогает поддерживать нормальный уровень гамма-аминомасляной кислоты (GABA), успокаивающего нейромедиатора.",1998-03-02,2002-01-13,Shipping
19,Якутская,8639,550,Напитки,Отличается хорошей совместимостью с другими продуктами питания.,2004-10-02,2025-01-10,Awaiting Payment
20,Верблюжье молоко,294,863,Молочные продукты,Помогает укрепить иммунную систему и защитить организм от инфекций.,1995-01-09,1996-06-20,Available for Pickup
21,Рыбинская,3108,515,Напитки,"Является источником антиоксидантов, замедляющих процессы старения.",2001-02-27,2013-02-06,Backorder
22,Фенхель,6719,828,Овощи,"Отличается высоким содержанием рутина, флавоноида, укрепляющего сосуды и улучшающего кровообращение.",2010-02-27,2016-01-03,Awaiting Payment
23,Калужская,591,639,Напитки,"Отличается высоким содержанием мирицетина, флавоноида, обладающего антиоксидантными и противовоспалительными свойствами.",2011-09-10,2028-01-03,Sold
24,Цукини,8405,294,Овощи,"Является источником антиоксидантов, замедляющих процессы старения.",2009-09-01,2030-03-09,Refunded
25,Пакеты для офиса,4732,196,Товары для дома,"Отличается высоким содержанием хлорогеновых кислот, веществ, способствующих снижению веса и контролю уровня сахара в крови.",2019-02-01,2021-03-03,Returned
26,Формы для выпечки,9451,922,Товары для дома,"Отличается высоким содержанием глютамина, необходимого для восстановления мышц после физических нагрузок.",2015-06-05,2025-03-07,Available for Pickup
27,Буковинская,7212,934,Напитки,Является важным компонентом сбалансированного рациона питания.,1997-01-10,2008-01-05,Temporarily Unavailable
28,Рамбутан,2812,778,Фрукты,"Отличается высоким содержанием селена, важного для антиоксидантной защиты организма.",2008-04-01,2029-02-17,Available for Pickup
29,Моцарелла,5261,286,Молочные продукты,"Отличается высоким содержанием астаксантина, мощного антиоксиданта, полезного для кожи и суставов.",1997-04-04,2021-03-18,Delivered
30,Авокадо,2865,40,Фрукты,"Отличается высоким содержанием глютамина, необходимого для восстановления мышц после физических нагрузок.",1997-06-02,2017-05-05,Awaiting Payment
32,Айва,7432,818,Фрукты,"Отличается высоким содержанием L-карнозина, аминокислоты, полезной для мышц и мозга.",2022-05-01,2028-03-01,Refunded
33,Панчетта,5132,965,Мясо,"Помогает поддерживать нормальный уровень гистамина, важного для иммунной системы.",2022-01-01,2023-04-04,Pending
34,Укроп,1116,188,Овощи,Отличается способностью повышать общий тонус и работоспособность.,1991-01-08,2000-01-03,Cancelled
35,Курт,2442,526,Молочные продукты,Отличается хорошей совместимостью с другими продуктами питания.,1997-07-19,2009-04-04,Awaiting Review
36,Тан,5217,296,Молочные продукты,"Отличается устойчивостью к температурным изменениям, что облегчает хранение.",2006-10-24,2024-02-03,Refunded
37,Молоко,365,959,Молочные продукты,Отличается высокой питательной ценностью и помогает поддерживать здоровый образ жизни.,2022-04-15,2026-02-12,Awaiting Payment
38,Мыло твердое,5936,62,Товары для дома,Подходит для людей с различными пищевыми предпочтениями и аллергиями.,2011-09-23,2023-01-15,Delivered
39,Отбеливатель,5870,1000,Товары для дома,Помогает поддерживать нормальный уровень холестерина в крови.,2022-04-08,2024-07-19,Delivered
40,Сельдерей,2851,873,Овощи,"Отличается высоким содержанием витамина C, необходимого для здоровья кожи и иммунной системы.",2016-01-04,2018-04-03,Awaiting Payment
42,Пакеты для концерта,7019,283,Товары для дома,Подходит для использования в рецептах традиционной кухни разных стран.,1990-05-09,2005-05-03,Available for Pickup
43,Горох,8168,953,Овощи,Помогает поддерживать нормальный обмен веществ и метаболизм.,2013-06-01,2020-07-06,Sold
44,Баклажан,2016,612,Овощи,"Помогает поддерживать нормальный уровень эритропоэтина, гормона, стимулирующего производство эритроцитов.",2008-04-01,2019-04-02,In Stock
45,Мацони,9835,355,Молочные продукты,Помогает поддерживать нормальное функционирование печени и желчного пузыря.,2013-02-02,2025-01-03,Awaiting Payment
46,Консервный нож,8136,703,Товары для дома,Помогает поддерживать нормальный уровень гормонов в организме.,2022-01-02,2024-01-04,Cancelled
47,Фета,9840,803,Молочные продукты,Помогает улучшить работу мозга и повысить концентрацию внимания.,1991-04-14,2003-01-02,Pending
48,"Экзотические виды мяса (например, страус, кенгуру)",8232,242,Мясо,"Помогает поддерживать нормальный уровень ацетилхолина, нейромедиатора, ответственного за память и обучение.",1996-02-02,2014-04-14,Awaiting Payment
50,Озеро Медвежье,893,808,Напитки,"Отличается высоким содержанием оротовой кислоты, необходимой для синтеза ДНК и РНК.",2014-06-01,2017-08-08,On Backorder
51,Мацони,4337,434,Молочные продукты,"Подходит для приготовления как горячих, так и холодных блюд.",2000-02-18,2024-01-05,Sold
53,Партенит,6095,800,Напитки,Помогает предотвратить дефицит витаминов и минералов в организме.,2001-02-15,2009-07-13,Awaiting Payment
54,Кровянка,8039,855,Мясо,"Помогает поддерживать нормальный уровень кемпферола, флавоноида, полезного для здоровья сердца и сосудов.",2001-04-01,2026-02-08,On Backorder
55,Дыня,1569,330,Фрукты,Отличается низкой вероятностью возникновения побочных эффектов при употреблении.,2004-08-01,2019-07-12,Refunded
56,Спаржа,2077,271,Овощи,Отличается универсальностью применения в кулинарии и пищевой промышленности.,2000-01-11,2013-03-11,Delivered
57,Куриные бедра,5926,956,Мясо,"Помогает поддерживать нормальный уровень ацетилхолина, нейромедиатора, ответственного за память и обучение.",2001-04-01,2029-02-17,Temporarily Unavailable
58,Адыгейский сыр,8924,364,Молочные продукты,Способствует нормализации обмена веществ в организме.,2010-01-15,2022-01-05,Shipping
59,Ряженка,6186,712,Молочные продукты,"Отличается высоким содержанием генистеина, изофлавона, полезного для здоровья костей и профилактики рака.",2014-01-03,2029-06-03,Temporarily Unavailable
60,Шпинат,5971,918,Овощи,"Отличается высоким содержанием рибофлавина, необходимого для здоровья кожи и зрения.",2014-03-20,2030-10-01,Out of Stock
61,Российский сыр,8797,982,Молочные продукты,"Отличается устойчивостью к температурным изменениям, что облегчает хранение.",1992-01-22,1993-01-01,Backorder
62,Нектарин,5128,635,Фрукты,"Помогает поддерживать нормальный уровень адреналина, гормона стресса и возбуждения.",1997-01-13,2011-04-01,Returned
63,Пушкинская,1040,290,Напитки,"Отличается высоким содержанием пребиотиков, способствующих здоровью кишечника.",2022-04-02,2024-06-05,Temporarily Unavailable
64,Капуста белокочанная,377,501,Овощи,Прошел строгий контроль качества на всех этапах производства.,2001-01-10,2002-06-18,Refunded
65,Куриные крылышки,7399,302,Мясо,Отличается стабильностью вкуса и качества в течение всего срока хранения.,2020-02-13,2024-05-04,New
67,Тарелки глубокие,6934,142,Товары для дома,"Отличается высоким содержанием карнитина, необходимого для преобразования жиров в энергию.",2021-03-05,2022-09-12,Out of Stock
68,Пакеты для Дня космонавтики,4909,542,Товары для дома,Помогает поддерживать нормальный уровень тестостерона у мужчин.,1991-02-15,2010-02-21,Out of Stock
69,Red Bull,9315,537,Напитки,Отличается простотой в использовании и хранении.,2003-01-03,2017-03-01,On Backorder
71,Редис,4509,940,Овощи,Является неотъемлемой частью рациона многих народов мира.,2015-05-08,2018-01-01,Awaiting Payment
72,Цветная капуста,6046,100,Овощи,"Отличается высоким содержанием рутина, флавоноида, укрепляющего сосуды и улучшающего кровообращение.",1999-02-02,2016-02-12,Pending
73,Гусиные потроха,9790,415,Мясо,Отличается высокой степенью адаптации к индивидуальным потребностям организма.,2017-07-13,2024-05-08,Available for Pickup
74,Ямс,2338,62,Овощи,Прошел все необходимые сертификации и соответствует международным стандартам.,1993-07-12,2021-01-09,Shipping
75,Пакеты для Дня учителя,8074,156,Товары для дома,"Помогает поддерживать нормальный уровень тиреоидных гормонов, регулирующих обмен веществ.",1992-01-01,2006-05-17,New
76,Пакеты для хранения одежды,6215,298,Товары для дома,"Отличается высоким содержанием коэнзима Q10, необходимого для выработки энергии в клетках.",2001-04-05,2012-10-11,Refunded
77,Топинамбур,4957,390,Овощи,"Отличается высоким содержанием антоцианов, пигментов, обладающих антиоксидантными и противовоспалительными свойствами.",2003-06-01,2014-11-02,Shipping
78,Яблоко,2964,806,Фрукты,Подходит для использования в специализированных диетах и лечебных программах.,2020-01-10,2021-03-16,Delivered
79,Пакеты пластиковые,5798,377,Товары для дома,"Подходит для использования в диетах, направленных на снижение веса.",1993-05-26,1999-04-08,Pending
