Product ID (#) *1,Name,$ Price:,Quantity,Category,Description,Production Date (DD/MM/YYYY),Expiration Date (DD/MM/YYYY),Rating:,Status
1,Каша из дробленной булгурной крупы,3439,524,Бакалея,"Подходит для веганов и вегетарианцев, если произведен без использования животных компонентов.",2011-03-01,2021-10-06,2.25,Awaiting Review
2,Соль,2455,938,Бакалея,Прошел тестирование на отсутствие ГМО и вредных химических соединений.,2008-01-02,2008-01-06,0.27,Delivered
3,Чай черный,4968,775,Бакалея,"Отличается высоким содержанием бета-каротина, необходимого для здоровья глаз и кожи.",1992-04-10,1997-01-12,4.0,Awaiting Review
4,Латте,8257,714,Напитки,Отличается стабильностью вкуса и качества в течение всего срока хранения.,1996-01-13,2008-10-07,4.34,Pending
5,Чеснок,8527,672,Овощи,"Подходит для веганов и вегетарианцев, если произведен без использования животных компонентов.",1999-01-11,2028-05-04,3.16,Refunded
6,Петрушка корневая,9442,379,Овощи,Придает блюдам особую нежность и насыщенность.,1991-01-25,2017-08-13,1.58,New
7,Копчености,2314,318,Мясо,"Помогает поддерживать нормальный уровень эритропоэтина, гормона, стимулирующего производство эритроцитов.",1995-01-01,2016-01-10,4.34,Awaiting Payment
8,Ямс,6193,316,Овощи,"Подходит для использования в диетах, направленных на снижение веса.",2010-02-07,2029-03-07,3.75,Available for Pickup
9,Фахитас с мясом,5681,295,Мясо,"Помогает поддерживать нормальный уровень кортизола, гормона стресса.",2004-02-01,2016-09-04,4.89,Delivered
10,Каша из дробленной манной крупы,1898,504,Бакалея,"Отличается высоким содержанием хрома, необходимого для регуляции уровня сахара в крови.",2021-12-08,2026-02-02,1.24,Shipping
11,Малина,2645,840,Фрукты,Может использоваться в детском питании начиная с раннего возраста.,1990-11-01,2023-02-06,0.48,Shipping
12,Манго,7438,693,Фрукты,Помогает укрепить иммунную систему и защитить организм от инфекций.,2006-02-21,2016-01-06,2.6,Temporarily Unavailable
13,Тарелки глубокие,1700,942,Товары для дома,"Помогает поддерживать нормальный уровень даидзеина, изофлавона, полезного для здоровья женщин во время менопаузы.",2009-09-01,2027-03-17,2.29,On Backorder
14,Айран,7085,264,Молочные продукты,"Отличается высоким содержанием мирицетина, флавоноида, обладающего антиоксидантными и противовоспалительными свойствами.",2017-03-04,2023-01-13,0.73,Returned
15,Крыжовник,6547,673,Фрукты,Подходит для использования в специализированных диетах и лечебных программах.,1999-01-09,2012-01-13,0.39,Awaiting Payment
16,Каша из дробленой гречихи,7951,265,Бакалея,"Отличается высоким содержанием цинка, необходимого для здоровой иммунной системы.",1993-05-03,2022-07-12,4.33,Delivered
17,Обуховская,1018,354,Напитки,"Отличается высоким содержанием альфа-липоевой кислоты, мощного антиоксиданта.",2020-01-01,2024-10-02,0.35,Cancelled
18,Пастернак,3810,818,Овощи,Помогает поддерживать нормальный уровень гормонов в организме.,1993-10-03,2013-05-04,0.38,Sold
19,Верблюжье молоко,5178,649,Молочные продукты,Прошел все необходимые сертификации и соответствует международным стандартам.,2000-09-07,2024-03-16,3.0,Available for Pickup
20,Черешня,3713,740,Фрукты,Помогает поддерживать нормальный уровень артериального давления.,1997-03-11,2012-04-05,3.02,Available for Pickup
21,Мортаделла,8680,368,Мясо,Подходит для людей с чувствительным пищеварением.,2000-01-01,2012-01-05,0.65,New
22,San Pellegrino,1923,241,Напитки,"Отличается устойчивостью к температурным изменениям, что облегчает хранение.",1991-09-13,2009-08-11,3.02,Delivered
